               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.065824,             0.21746,             0.02163,             0.19978,             0.25037,              0.1023,            0.026742,             0.07577,             0.19702,            0.027873,           0.0021772,           0.0021772,            0.080277
                 110,            0.064462,             0.20527,            0.021403,             0.33186,             0.18473,             0.15322,            0.049366,            0.074461,             0.19318,            0.028297,           0.0021968,           0.0021968,            0.080097
                 111,            0.065786,             0.20884,            0.020913,             0.21352,             0.33205,             0.14188,            0.039794,             0.07494,             0.19898,            0.029017,           0.0022165,           0.0022165,            0.079916
                 112,            0.067628,             0.25898,            0.020598,            0.049558,            0.055367,            0.013216,           0.0060413,            0.084744,             0.20969,            0.030549,           0.0022361,           0.0022361,            0.079736
                 113,            0.064588,             0.22388,            0.020876,             0.11749,            0.085378,            0.019082,           0.0035623,            0.085023,             0.20693,            0.031401,           0.0022557,           0.0022557,            0.079556
                 114,            0.061072,             0.20889,            0.020611,            0.044261,              0.1576,            0.017824,           0.0053232,            0.082242,             0.21142,            0.030863,           0.0022754,           0.0022754,            0.079375
                 115,            0.063509,             0.23688,            0.020674,            0.075904,            0.040287,            0.015149,           0.0058463,            0.081468,             0.23149,            0.029854,            0.002295,            0.002295,            0.079195
                 116,            0.062615,             0.22838,            0.020837,             0.21642,             0.14429,             0.11971,            0.048424,            0.076984,             0.21151,            0.029816,           0.0023146,           0.0023146,            0.079015
                 117,            0.060234,             0.22152,            0.020919,             0.21679,             0.13675,             0.12666,            0.052318,            0.074397,             0.21874,            0.029682,           0.0023342,           0.0023342,            0.078834
                 118,            0.060573,             0.20153,            0.020668,             0.27225,             0.16211,             0.14099,            0.059705,            0.073399,             0.21453,            0.029311,           0.0023538,           0.0023538,            0.078654
                 119,            0.061555,             0.21126,            0.021468,             0.47483,             0.35852,             0.27691,             0.12416,            0.070839,             0.19027,            0.028892,           0.0023733,           0.0023733,            0.078473
                 120,            0.063035,             0.22006,            0.020691,             0.27579,             0.14141,             0.11809,            0.030843,            0.076509,             0.21385,            0.028091,           0.0023929,           0.0023929,            0.078293
                 121,            0.062158,             0.20273,            0.020614,             0.21033,             0.28681,             0.15309,            0.061106,             0.07288,             0.21648,            0.027554,           0.0024125,           0.0024125,            0.078112
                 122,            0.058342,              0.1893,            0.020589,             0.69958,               0.304,             0.38441,              0.1725,             0.06917,             0.17917,            0.027584,           0.0024321,           0.0024321,            0.077932
                 123,            0.058609,             0.22972,            0.020809,             0.20236,             0.22391,             0.16761,            0.039625,            0.075704,             0.20979,            0.027579,           0.0024516,           0.0024516,            0.077752
                 124,            0.058945,             0.21173,            0.020494,             0.36545,             0.40538,             0.24718,             0.11466,            0.068118,             0.17815,            0.026727,           0.0024712,           0.0024712,            0.077571
                 125,            0.061239,             0.21719,            0.020473,             0.53249,             0.37456,             0.33521,             0.11735,            0.068953,             0.18088,            0.025812,           0.0024907,           0.0024907,            0.077391
                 126,            0.058738,             0.22142,            0.019561,             0.64701,             0.37663,             0.38704,             0.18029,            0.064007,             0.16493,            0.027202,           0.0025102,           0.0025102,             0.07721
                 127,            0.059402,             0.20002,            0.020082,             0.62877,             0.40279,             0.41042,             0.19455,            0.069989,             0.15959,            0.026809,           0.0025298,           0.0025298,             0.07703
                 128,            0.058816,             0.21624,            0.020212,              0.7973,             0.41875,             0.50574,             0.25087,            0.062474,             0.16036,            0.027257,           0.0025493,           0.0025493,            0.076849
                 129,            0.059293,             0.21754,            0.020068,             0.61655,             0.38868,             0.39452,             0.16507,            0.068762,             0.16971,             0.02744,           0.0025688,           0.0025688,            0.076669
                 130,            0.060031,             0.21513,            0.020744,             0.44244,             0.33604,             0.27633,            0.066537,            0.070282,             0.17127,            0.027652,           0.0025883,           0.0025883,            0.076488
                 131,             0.05604,             0.20055,            0.019895,             0.73665,             0.37194,             0.40537,             0.19549,            0.066009,             0.16351,            0.027102,           0.0026078,           0.0026078,            0.076308
                 132,            0.056712,             0.22308,            0.019616,             0.57751,             0.36761,             0.36602,             0.13652,            0.065327,             0.16695,            0.027409,           0.0026273,           0.0026273,            0.076127
                 133,            0.059332,               0.227,             0.02002,             0.61623,             0.39384,             0.39161,             0.19431,            0.065503,             0.16107,            0.026749,           0.0026468,           0.0026468,            0.075947
                 134,            0.056866,             0.21982,            0.019762,             0.48161,             0.42134,             0.39288,             0.15593,            0.063334,             0.15886,            0.026956,           0.0026663,           0.0026663,            0.075766
                 135,            0.056578,             0.20944,            0.019508,             0.62575,             0.39216,             0.42165,             0.20563,            0.065446,             0.15752,            0.026851,           0.0026857,           0.0026857,            0.075586
                 136,            0.055273,             0.18836,            0.018929,             0.50837,             0.38498,             0.37348,             0.12541,            0.067491,             0.16883,             0.02819,           0.0027052,           0.0027052,            0.075405
                 137,            0.052833,             0.21304,            0.019378,             0.63973,             0.44789,             0.45163,             0.20157,            0.065291,             0.15808,             0.02727,           0.0027246,           0.0027246,            0.075225
                 138,             0.05496,             0.20446,            0.019325,             0.70656,             0.41499,             0.47158,             0.21758,            0.065574,             0.15923,            0.027591,           0.0027441,           0.0027441,            0.075044
                 139,            0.053943,             0.18984,            0.019531,             0.68017,             0.37957,             0.43044,              0.1976,            0.066598,             0.15731,            0.027075,           0.0027635,           0.0027635,            0.074864
                 140,            0.053111,              0.1949,            0.018107,             0.66656,             0.35016,             0.38045,             0.16203,            0.072381,              0.1668,            0.027985,           0.0027829,           0.0027829,            0.074683
                 141,            0.057847,             0.23547,             0.01907,             0.45693,             0.33205,             0.28697,             0.10963,            0.064838,              0.1738,            0.025718,           0.0028023,           0.0028023,            0.074502
                 142,            0.058201,             0.21178,            0.018644,             0.56494,             0.43411,             0.45014,             0.15164,            0.066818,             0.16152,            0.024698,           0.0028218,           0.0028218,            0.074322
                 143,            0.057428,             0.19572,            0.018203,             0.69926,             0.41285,             0.47273,             0.23011,            0.062138,             0.16106,            0.023231,           0.0028412,           0.0028412,            0.074141
                 144,            0.058298,             0.20152,            0.017749,             0.66578,             0.40457,             0.43898,             0.21061,            0.067585,             0.15757,             0.02434,           0.0028606,           0.0028606,            0.073961
                 145,            0.056687,             0.21816,             0.01804,             0.84576,             0.41499,             0.55556,             0.30201,            0.060756,             0.16068,            0.024159,           0.0028799,           0.0028799,             0.07378
                 146,            0.053451,             0.20104,            0.017556,             0.57694,             0.41482,             0.39366,             0.17593,            0.067644,             0.16089,            0.026092,           0.0028993,           0.0028993,            0.073599
                 147,            0.052023,             0.19662,            0.016442,             0.76442,             0.41232,             0.48248,             0.24521,            0.065002,             0.16333,            0.024084,           0.0029187,           0.0029187,            0.073419
                 148,            0.052574,             0.20422,            0.017721,             0.43618,             0.41499,             0.35873,             0.12706,            0.068202,             0.16681,            0.026027,            0.002938,            0.002938,            0.073238
                 149,            0.055994,              0.2028,             0.01728,             0.56689,             0.35127,             0.36581,             0.13302,            0.068402,             0.17945,            0.024186,           0.0029574,           0.0029574,            0.073057
                 150,            0.052922,             0.21845,            0.016533,             0.54206,             0.43732,             0.42859,              0.1775,            0.063711,             0.16536,            0.022129,           0.0029767,           0.0029767,            0.072877
                 151,            0.054336,             0.21628,            0.016441,             0.55967,             0.46051,             0.46314,             0.21562,            0.063516,             0.16062,            0.021811,           0.0029961,           0.0029961,            0.072696
                 152,            0.053407,             0.23256,            0.016583,             0.35649,             0.45114,             0.34136,             0.12443,            0.064512,             0.18132,            0.021169,           0.0030154,           0.0030154,            0.072515
